timestamp,tweet_text,username,all_hashtags,location,followers_count,retweet_count,favorite_count
2021-09-19 19:33:13,b'@Mike_Pence would need support outside of Indiana which he would not have in a presidential contest. https://t.co/AD1I52oJZ3 via @YahooNews @AOL @AP_Politics @Trump @MelaniaTrump @JennaEllisEsq @ErinMPerrine',b'FullStriedAhead',[],,77,0,0
2021-09-19 18:52:15,"b""@Trump @DonaldJTrumpJr I support your dad 100%, but please tell him to stop giving us false hope, my husband is trying to hang on, but I've lost all hope. Trump keeps commenting about something good coming, and nothing happens, its tearing all of us apart....""",b'dead__lee',[],,9,0,1
2021-09-19 18:27:38,"b""@Trump @TrumpPalmBeach @MarALago @TrumpBedminster @MSNBC @CNN @FoxNews @SenateDems @HouseDemocrats @HouseGOP @BBC @ABC @CBS @nytimes @GovKathyHochul @WhiteHouse \xe2\x80\xa2The power of the gov't to acquire property for public use is: \xe3\x80\x8aEminent Domain\xe3\x80\x8b \xe2\x80\xa2Chapter 10 \xe2\x80\xa2Land Use Regulations""",b'William05117610',[],,0,0,0
2021-09-19 18:23:15,"b'@Kalaax008 @Trump and the #GQP have infected the fabric of the US  This infection is far more deadly than the #DeltaVariant because there has been no accountability   Now they are ramping up the lies, disinformation, crazy, divisive and dangerous rhetoric heading towards #Insurrection2'",b'KevinEn19473152',"['GQP', 'DeltaVariant', 'Insurrection2']",Lichfield England,634,0,0
2021-09-19 18:04:09,"b""@SenTedCruz 9/12/2020 Here\xe2\x80\x99s @mikepompeo confirming the sale of #Afghanistan, sorry \xe2\x80\x98understanding\xe2\x80\x99,  to it\xe2\x80\x99s new owner, with a lot of help from @Trump of course.  @Trump knew al-Qaeda were integrated into the Taliban at the end of his 'reign'   Follow the facts   https://t.co/rYy6CQktMM https://t.co/GhCTZ3aSce""",b'KevinEn19473152',['Afghanistan'],Lichfield England,634,0,0
2021-09-19 18:00:54,b'@Casper324B @dguilford @RayDuryea @douglaskarr @Jim_Jordan @Trump @RonDeSantisFL @GregAbbott_TX How are we going to die if it\xe2\x80\x99s the \xe2\x80\x9cflu\xe2\x80\x9d with a 99.4% recovery rate?  At least try to be consistent.',b'DoggyMichael',[],"Ohio, USA",44,0,1
2021-09-19 17:59:02,"b'@Casper324B @dguilford @RayDuryea @douglaskarr @Jim_Jordan @Trump My wife\xe2\x80\x99s hospital, Miami Valley in Dayton, is getting ready to open a 4th floor for COVID.   Columbus area ERs are under an emergency transport plan because they\xe2\x80\x99re holding patients due to a lack of beds in the hospital.  I\xe2\x80\x99ll trust what I see and hear rather than a Twitter post'",b'DoggyMichael',[],"Ohio, USA",44,0,1
2021-09-19 17:46:12,b'@TheTweetOfGod Bring back @trump',b'willhernandez85',[],NYC,106,0,0
2021-09-19 17:45:09,"b'@EricTrump @trumpwinery @IRS_CI @IRStaxpros @IRSnews @FBI   @Trump \xf0\x9f\x8d\xb7\xf0\x9f\x91\x80Eric, it\xe2\x80\x99s always good to have at least one legit business, in a RICO organization. https://t.co/YOZHf6BfBr'",b'Don_COi',[],"Edmonton, AB",2092,1,3
2021-09-19 17:32:49,"b'@angie_keathly @Trump and the #GQP have infected the fabric of the US  This infection is far more deadly than the #DeltaVariant because there has been no accountability   Now they are ramping up the lies, disinformation, crazy, divisive and dangerous rhetoric heading towards #Insurrection2'",b'KevinEn19473152',"['GQP', 'DeltaVariant', 'Insurrection2']",Lichfield England,634,0,0
2021-09-19 17:29:06,"b'@GregAbbott_TX @TxDPS @TexasGuard #GOPLiesAboutEverything  The border \xe2\x80\x98crisis\xe2\x80\x99 has existed for decades, @Trump  said so, it must be true!   Republicans held the house, Senate and Presidency from 2016 - 2018 (albeit @Trump  has lost them all 3 since) so was it fixed then  Oh, and did Mexico send that check yet ? https://t.co/RziMQ1rw2h'",b'KevinEn19473152',['GOPLiesAboutEverything'],Lichfield England,634,0,0
2021-09-19 17:18:38,"b'@Trump ""Trump supporters \'Losing\' Interest in Big Lie"" @washingtonpost @PressClubDC @EricTrump ""Former Guy\'s Devotees Move On with Covid as Primary Concern""@amspectator @reuters ""Cowardly Trump Insurrections Intimidated by Gov\'t Law Enforcement Presence""@BBCNews @DonaldJTrumpJr @FBIWFO https://t.co/q6xs5GwUCi'",b'dierdreholsten',[],,40,0,1
2021-09-19 17:13:59,"b'@SenateGOP ""Trump supporters \'Losing\' Interest in Big Lie""@BBC @washingtonpost @PressClubDC @EricTrump""Former Guy\'s Devotees Move On with Covid as Primary Concern""@amspectator @reuters ""Cowardly Trump Insurrections Intimidated by Gov\'t Law Enforcement Presence""@FBIWFO @Trump https://t.co/g1mAe90Idc'",b'dierdreholsten',[],,40,0,1
2021-09-19 17:02:31,"b""@GOPRedistrict @mikepompeo @GovChristie @SteveDoocy @ainsleyearhardt @kilmeade 9/12/2020 Here\xe2\x80\x99s @mikepompeo confirming the sale of #Afghanistan, sorry \xe2\x80\x98understanding\xe2\x80\x99,  to it\xe2\x80\x99s new owner, with a lot of help from @Trump of course.  @Trump knew al-Qaeda were integrated into the Taliban at the end of his 'reign'   Follow the facts   https://t.co/rYy6CQktMM https://t.co/VblePx5oWd""",b'KevinEn19473152',['Afghanistan'],Lichfield England,634,0,0
2021-09-19 17:02:11,"b""@mikepompeo @SundayFutures @MariaBartiromo 9/12/2020 Here\xe2\x80\x99s @mikepompeo confirming the sale of #Afghanistan, sorry \xe2\x80\x98understanding\xe2\x80\x99,  to it\xe2\x80\x99s new owner, with a lot of help from @Trump of course.  @Trump knew al-Qaeda were integrated into the Taliban at the end of his 'reign'   Follow the facts   https://t.co/rYy6CQktMM https://t.co/QLEQ2ieZ3j""",b'KevinEn19473152',['Afghanistan'],Lichfield England,634,0,1
2021-09-19 17:01:59,"b""@mikepompeo @usairforce 9/12/2020 Here\xe2\x80\x99s @mikepompeo confirming the sale of #Afghanistan, sorry \xe2\x80\x98understanding\xe2\x80\x99,  to it\xe2\x80\x99s new owner, with a lot of help from @Trump of course.  @Trump knew al-Qaeda were integrated into the Taliban at the end of his 'reign'   Follow the facts   https://t.co/rYy6CQktMM https://t.co/4ggYM9X9Uo""",b'KevinEn19473152',['Afghanistan'],Lichfield England,634,0,0
2021-09-19 17:01:45,"b""@mikepompeo 9/12/2020 Here\xe2\x80\x99s @mikepompeo confirming the sale of #Afghanistan, sorry \xe2\x80\x98understanding\xe2\x80\x99,  to it\xe2\x80\x99s new owner, with a lot of help from @Trump of course.  @Trump knew al-Qaeda were integrated into the Taliban at the end of his 'reign'   Follow the facts   https://t.co/rYy6CQktMM https://t.co/K3n0U7vfbg""",b'KevinEn19473152',['Afghanistan'],Lichfield England,634,1,1
2021-09-19 16:16:17,b'Please follow @buy_from_us and #retweet a start up to help people Buy US products and definitely not from #china .@ScottAdamsSays .@ChinaUncensored .@Trump',b'alecberg',"['retweet', 'china']",#Cherping from NY,60639,0,0
2021-09-19 15:56:23,b'@Trump @MarALago @TrumpBedminster @CNN @FoxNews @MSNBC @SenateDems @SenateGOP @HouseDemocrats @HouseGOP @ABC @CBS @nytimes @GovKathyHochul @WhiteHouse  \xe2\x80\xa2Real Estate plus all bundle of legal rights in ownership is: \xe3\x80\x8aReal Property\xe3\x80\x8b \xe2\x80\xa2Chapter 3 \xe2\x80\xa2estates &amp; interests',b'William05117610',[],,0,0,0
2021-09-19 15:50:18,b'@Trump @TrumpPalmBeach @MarALago @TrumpBedminster @CNN @FoxNews @MSNBC @SenateDems @SenateGOP @HouseDemocrats @HouseGOP @BBC @ABC @CBS @nytimes @GovKathyHochul @WhiteHouse \xe2\x80\xa2Agency disclosure forms must be presented when: \xe3\x80\x8aFirst Substantive Meet\xe3\x80\x8b \xe2\x80\xa2Chapter 2 \xe2\x80\xa2Law Of Agency',b'William05117610',[],,0,0,0
2021-09-19 15:49:27,"b""@Casper324B @DoggyMichael @RayDuryea @douglaskarr @Jim_Jordan @Trump Nice anecdote. Illegals aren't bringing in covid. Republicans governors like @RonDeSantisFL and @GregAbbott_TX are letting covid rampage. https://t.co/oX7LuJeM5y""",b'dguilford',[],Chicago,675,0,0
2021-09-19 15:46:48,b'@Trump @TrumpPalmBeach @MarALago @TrumpBedminster @MSNBC @CNN @FoxNews @SenateDems @SenateGOP @HouseDemocrats @HouseGOP @BBC @ABC @CBS @nytimes @GovKathyHochul @WhiteHouse  \xe2\x80\xa2An agent authorized to handle all affairs of principal is: \xe3\x80\x8aGeneral Agent\xe3\x80\x8b \xe2\x80\xa2Chapter 2 \xe2\x80\xa2Law Of Agency',b'William05117610',[],,0,0,0
